G³êb.Probki,2815.15,2819.15,2825.15,2829.25,2833.2,2835.15,2839.15,2855.35,2857.55,2859.15,2861.15,2865.85,2867.85,2869.45,2871.35,2875.15,2877.3,2879.35,2881.55,2883.2,2885.15,2887.4,2889.4,2891.15,2895.85,2897.4,2899.15,2901.35,2905.15,2907.405,2909.35,2911.55,2915.85,2917.4,2919.35,2921.5,2924.4,2926.65,2929.15,2931.15,2935.15,2937.85,2939.15,2941.55,2945.15,2947.5,2949.65,2951.5,2955.4,2957.45,2959.4,2961.45,2965.25,2967.35,2969.6
,2.7,2.73,2.74,2.74,2.76,2.73,2.74,2.75,2.76,2.77,2.76,2.77,2.76,2.81,2.78,2.79,2.77,2.77,2.77,2.74,2.76,2.75,2.79,2.79,2.52,2.66,2.66,2.72,2.68,2.76,2.76,2.78,2.57,2.71,2.52,2.52,2.58,2.65,2.76,2.73,2.71,2.76,2.62,2.72,2.72,2.74,2.71,2.74,2.76,2.72,2.76,2.74,2.77,2.77,2.76
SiO2,49.58742099,54.44142703,53.66121992,57.61358683,56.82682342,56.7010794,57.19844404,53.22995981,50.71634812,56.15413495,59.68954637,60.48600277,60.72917913,58.94092079,59.85811261,61.16860655,61.56106349,57.90731445,58.17040539,61.82633064,60.91056226,58.95822598,55.83608839,58.28128438,51.9612229,54.27467105,45.05129286,54.13489977,57.6796027,43.50680335,38.30075273,44.71494509,59.31005742,62.39478736,67.57005544,65.55718079,57.66906629,57.45561783,57.53530912,56.90519226,73.09241207,57.87410753,49.35460284,24.41535691,20.44024903,25.65823066,23.37443485,21.17129979,21.46948345,15.63263807,20.07813766,59.52535404,61.35039493,62.12076291,62.75289782
Al2O3,12.75105111,14.5244852,15.22956527,15.14007837,16.34031369,15.95352951,15.1917436,14.13276065,13.70990711,14.81557435,16.47680186,16.392433,17.78200279,18.24110786,18.49020233,17.23936959,16.51383367,17.17677,17.26612739,17.64974642,18.9499527,17.7180161,18.5074675,19.63598829,15.10390209,15.33632907,13.52452605,15.35876316,15.61327177,9.170052228,9.045496921,12.1398041,14.11204361,10.85537148,8.147877339,9.054910747,11.87583737,14.28999071,14.38382728,14.6589404,9.059773765,16.11034554,13.18046898,7.09062657,5.983956963,8.280146151,7.667217638,6.653837076,7.169997303,4.869019118,5.820631827,19.09303809,18.92503708,19.28245158,18.42000483
Fe2O3,6.01120981,6.04340468,6.480231129,6.045870223,6.171850968,6.61512593,7.391955781,6.292689048,6.556015732,6.848317934,7.440467759,7.449219552,7.414367246,9.247081848,8.942154345,7.788871802,7.765682542,8.506101074,7.98558392,7.174778573,7.017729737,7.280679029,9.556963444,9.379317809,5.946567739,6.871472114,4.843242437,4.863608333,6.42431437,3.392919324,3.667093346,6.282348621,5.072440851,3.653068488,2.772345807,3.301172404,5.234869115,5.587879127,5.451262078,5.965374358,6.142219502,7.932036369,7.735107345,2.238074384,1.88603264,2.862272743,3.304661479,3.105123969,3.311566551,2.608758709,3.35649675,6.03421685,6.301413445,5.690928952,5.775764227
MgO,3.997353325,3.910438322,3.781838356,3.66816664,3.986203914,3.841040863,3.59911778,3.548663987,3.473863682,3.605468443,3.803136027,3.869859182,3.743579535,3.806381468,3.739826233,3.769813952,4.118006624,3.558779893,3.473780393,3.822371117,3.217327135,3.146475272,3.241420862,3.049844989,2.707303204,2.579291707,2.211442773,2.455505962,2.525968808,3.464241953,4.319021052,4.228698428,2.398060558,1.765177797,1.212313929,1.240270988,2.498676184,2.956549803,4.263032868,3.644375461,2.508072963,2.216455182,2.212779464,1.485267546,1.293561654,1.50269319,1.460902178,1.401338414,1.296270699,1.115194563,1.30812109,2.389182306,2.568397889,2.491084285,2.580882033
CaO,8.854896606,5.291787963,5.417227915,3.932355927,3.954980384,3.028122162,2.875215904,7.901966902,9.277380753,5.998753531,2.725408107,1.784492706,0.86310306,1.244191172,0.783483149,0.893123967,1.08698652,0.925694192,1.038023135,0.898152776,0.583075468,0.95718018,3.021840739,0.940020716,1.833366731,3.077224468,5.903272857,1.23249334,1.451934827,17.93254658,20.0671497,12.94912437,2.871751532,1.094976601,1.785578656,1.426777903,2.422670824,2.29625368,5.409569825,4.031208611,1.627688168,1.764955052,5.031668086,34.07976902,35.94323984,32.30279239,33.24811854,35.58794679,35.24235962,40.02751913,36.91132378,0.439037774,0.727886042,0.646222701,0.91579685
Na2O,0.819710429,0.893814474,0.858579519,0.944984758,0.863850979,0.884049087,0.846251489,0.78400716,0.721574059,0.777040613,0.839384246,0.881871395,0.91509722,0.790799474,0.887947569,0.913894291,1.024275759,0.915408701,0.873583827,0.981701872,0.885025264,0.936814644,0.805127117,0.783350597,0.721947521,0.717023177,0.61225895,0.748976722,0.845304522,0.560392081,0.50931852,0.556407688,0.730273586,0.632443382,0.479286902,0.428965906,0.627044213,0.768702949,0.792152807,0.783846119,0.460666463,0.708034294,0.606109158,0.305191961,0.227113878,0.235115261,0.201503749,0.201631427,0.182288067,0.129442226,0.172388051,0.633031209,0.727886042,0.719183329,0.728474767
K2O,3.248482069,3.666670739,3.843165465,3.739294525,4.100690188,3.952817184,3.680684189,3.290766895,3.247083264,3.532944653,3.979303091,3.911359013,4.242723473,4.270317159,4.418844963,4.070983662,3.846259994,3.949628552,4.059595429,4.146123862,4.695839928,4.205483131,4.203390924,4.564322809,3.742727938,3.97350344,3.435960672,4.057747303,4.256356889,2.567614624,2.424356157,2.93378599,3.759922109,2.935670025,2.170887734,2.340661789,3.334735135,4.020907731,4.106686919,4.06174807,1.750532558,4.330296698,3.43461856,1.902363226,1.668793278,2.361375013,2.105714174,1.82476441,1.934278933,1.304379355,1.622475771,5.881064138,5.635917636,5.805581366,5.879832051
TiO2,0.647672437,0.731302751,0.766588856,0.82305124,0.843035292,0.823080185,0.785076683,0.794323044,0.752498661,0.839203862,0.901560857,0.840371565,0.894299556,0.906783397,0.898394011,0.872353642,0.898854238,0.781697318,0.791364172,0.877265502,0.86420114,0.855352501,0.899232884,0.929576041,0.721947521,0.766816453,0.667088109,0.748976722,0.785635968,0.509447346,0.50931852,0.617106708,0.720405024,0.528609394,0.366513514,0.307736411,0.560539524,0.699716787,0.687922174,0.671868102,0.28663691,0.820909327,0.615729938,0.39674955,0.335733559,0.429340912,0.403007497,0.373018139,0.374703249,0.268841546,0.324495154,1.041438441,1.039837202,1.083986467,1.019864674
